id,web_name,team,element_type,selected_by_percent,transfers_in,transfers_out,transfers_in_event,transfers_out_event,total_points,form,now_cost
130,Kozlowski,5,3,0.0,0,97,0,0,0,0.0,45
131,Lamptey,5,2,0.2,89625,96642,0,0,42,0.5,44
132,March,5,3,0.0,10873,9480,0,0,7,0.0,65
133,Mazilu,5,3,0.0,720,4139,0,0,0,0.0,45
134,Milner,5,3,0.0,5014,10991,0,0,6,0.2,50
135,Minteh,5,3,1.0,544644,577396,0,0,102,4.0,48
136,Mitoma,5,3,6.3,3172728,2925901,0,0,145,2.8,63
137,Moder,5,3,0.4,173459,177871,0,0,4,0.0,44
138,O’Mahony,5,4,0.2,31158,74186,0,0,0,0.0,45
139,Offiah,5,2,0.1,2639,13830,0,0,0,0.0,40
140,Peupion,5,3,0.0,10268,12436,0,0,0,0.0,44
141,Sarmiento,5,3,0.0,354,2972,0,0,1,0.0,49
142,Steele,5,1,0.7,300194,351203,0,0,9,0.0,40
143,Undav,5,4,0.0,0,1477,0,0,0,0.0,55
144,Van Hecke,5,2,0.7,322311,294037,0,0,87,3.0,45
145,Veltman,5,2,1.1,646181,667942,0,0,59,0.2,43
146,Verbruggen,5,1,2.5,807148,622236,0,0,103,3.8,45
147,Webster,5,2,0.1,15333,20702,0,0,39,3.2,43
148,Welbeck,5,4,6.9,4226056,3901262,0,0,125,3.8,55
149,Wieffer,5,3,0.1,17416,22295,0,0,52,3.0,47
595,Gruda,5,3,0.1,7431,5258,0,0,45,3.8,54
600,Ayari,5,3,0.1,9500,7123,0,0,74,3.5,50
601,Moran,5,3,0.0,24,534,0,0,0,0.0,50
615,Rushworth,5,1,0.1,12682,11012,0,0,0,0.0,39
618,Georginio,5,3,0.3,360345,341583,0,0,95,0.0,50
628,F.Kadıoğlu,5,2,0.1,74231,72494,0,0,19,0.0,44
629,O'Riley,5,3,0.0,20543,18525,0,0,50,3.2,55
663,Samuels,5,2,0.0,5264,5277,0,0,0,0.0,40
668,Cahill,5,1,0.9,183556,101541,0,0,0,0.0,39
681,McConville,5,2,0.0,1473,1598,0,0,0,0.0,40
685,Slater,5,2,0.0,3069,2307,0,0,0,0.0,40
714,Gómez,5,3,0.0,2664,1792,0,0,30,3.5,55
739,Hürzeler,5,5,2.3,67399,31537,0,0,119,12.0,11
758,Knight,5,3,0.0,629,377,0,0,0,0.0,45
763,Cashin,5,2,0.0,2334,1469,0,0,1,0.0,45
791,Charlie Tasker,5,2,0.0,248,108,0,0,0,0.0,40
794,Freddie Simmonds,5,2,0.0,148,64,0,0,0,0.0,40
795,Harry Howell,5,3,0.0,157,48,0,0,1,0.2,45
150,Andrey Santos,6,3,0.0,0,631,0,0,0,0.0,45
151,Ângelo,6,3,0.1,5940,30655,0,0,0,0.0,45
153,B.Badiashile,6,2,0.1,12686,22025,0,0,7,0.0,42
154,Bergström,6,1,0.2,25963,28478,0,0,0,0.0,39
155,Bettinelli,6,1,0.4,34216,36904,0,0,0,0.0,39
157,Caicedo,6,3,1.0,294654,289677,0,0,98,3.2,49
158,Casadei,6,3,0.1,23729,31224,0,0,0,0.0,44
159,Chalobah,6,2,0.7,279303,230679,0,0,93,0.8,44
161,Chukwuemeka,6,3,0.0,4843,8839,0,0,0,0.0,47
162,Colwill,6,2,2.4,1105860,958654,0,0,109,5.8,44
163,Cucurella,6,2,11.8,2224687,1662071,0,0,133,6.5,54
164,D.D.Fofana,6,4,0.1,4727,15354,0,0,0,0.0,54
165,Deivid,6,4,0.1,17623,23659,0,0,0,0.0,49
166,Dewsbury-Hall,6,3,0.1,8266,28271,0,0,18,0.2,55
168,Enzo,6,3,4.1,1865471,1635475,0,0,135,4.0,47
