id,web_name,team,element_type,goals_scored,assists,penalties_missed,bonus,bps,influence,creativity,threat,minutes
713,Soler,3,2,0,0,0,0,8,2.2,1.8,0.0,9
722,Adu-Adjei,3,4,0,0,0,0,0,0.0,0.0,0.0,0
723,Sadi,3,3,0,0,0,0,0,0.0,0.0,0.0,0
727,McKenna,3,1,0,0,0,0,0,0.0,0.0,0.0,0
728,Silcott-Duberry,3,3,0,0,0,0,5,2.0,1.0,0.0,1
738,Iraola,3,5,0,0,0,0,0,0.0,0.0,0.0,0
86,Ajer,4,2,0,0,0,0,120,199.0,128.1,158.0,1433
87,Brierley,4,3,0,0,0,0,0,0.0,0.0,0.0,0
88,Collins,4,2,2,7,0,11,549,1023.2,160.5,311.0,3420
89,Damsgaard,4,3,2,10,0,10,611,714.8,1006.4,338.0,2911
90,Dasilva,4,3,0,0,0,0,0,0.0,0.0,0.0,0
91,Flekken,4,1,0,2,0,12,584,1298.4,30.3,0.0,3275
92,Henry,4,2,0,0,0,0,5,13.6,2.1,2.0,94
93,Hickey,4,2,0,0,0,0,0,0.0,0.0,0.0,0
94,Janelt,4,3,1,3,0,2,384,356.6,284.2,131.0,2251
95,Jensen,4,3,0,2,0,1,179,157.0,249.5,32.0,846
96,Ji-soo,4,2,0,0,0,0,8,5.0,0.8,0.0,28
97,Konak,4,3,0,0,0,0,30,8.0,4.5,3.0,53
98,Lewis-Potter,4,3,1,5,0,0,460,542.0,462.2,391.0,3092
99,Mbeumo,4,3,20,9,1,29,948,1236.8,1107.5,1060.0,3415
100,Mee,4,2,0,0,0,0,30,36.8,3.0,6.0,180
101,Nørgaard,4,3,5,5,0,7,580,735.4,333.0,409.0,2820
102,Onyeka,4,3,0,0,0,0,3,0.0,0.5,0.0,23
103,Peart-Harris,4,3,0,0,0,0,0,0.0,0.0,0.0,0
104,Pinnock,4,2,2,0,0,0,233,540.2,101.2,193.0,1912
105,Roerslev,4,2,0,2,0,0,125,214.4,185.8,78.0,1100
106,Schade,4,3,11,4,0,12,498,630.8,312.7,892.0,2281
107,Thiago,4,4,0,0,0,0,32,18.2,30.6,12.0,167
108,Toney,4,4,0,0,0,0,0,0.0,0.0,0.0,0
109,Valdimarsson,4,1,0,0,0,0,14,21.4,0.1,0.0,144
110,Wissa,4,4,18,6,0,32,739,849.4,400.0,1181.0,2921
111,Yarmoliuk,4,3,0,0,0,0,255,259.6,196.1,89.0,1435
112,Zanka,4,2,0,0,0,0,0,0.0,0.0,0.0,0
314,Carvalho,4,3,2,1,0,1,127,142.2,71.5,154.0,443
338,Van den Berg,4,2,0,1,0,1,266,587.4,108.3,226.0,2584
602,Trevitt,4,3,0,0,0,0,5,2.6,0.1,0.0,3
634,G.Nunes,4,3,0,0,0,0,11,10.0,0.3,2.0,11
649,Meghoma,4,2,0,0,0,0,3,0.2,0.3,0.0,4
661,Yogane,4,3,0,0,0,0,0,0.0,0.0,0.0,0
674,Maghoma,4,3,0,0,0,0,32,27.8,15.8,10.0,112
705,Arthur,4,2,0,0,0,0,0,0.0,0.0,0.0,0
752,Frank,4,5,0,0,0,0,0,0.0,0.0,0.0,0
757,Kayode,4,2,0,1,0,0,115,105.2,105.2,30.0,523
759,Eyestone,4,1,0,0,0,0,0,0.0,0.0,0.0,0
780,Morgan,4,4,0,0,0,0,0,0.0,0.0,0.0,0
786,Benjamin Fredrick,4,2,0,0,0,0,0,0.0,0.0,0.0,0
113,Adingra,5,3,2,3,0,0,207,212.4,261.9,337.0,1081
114,Baker-Boaitey,5,3,0,0,0,0,0,0.0,0.0,0.0,0
115,Baleba,5,3,3,1,0,7,490,515.4,343.7,193.0,2660
116,Barco,5,2,0,0,0,0,0,0.0,0.0,0.0,0
118,Cozier-Duberry,5,3,0,0,0,0,0,0.0,0.0,0.0,0
119,Dahoud,5,3,0,0,0,0,0,0.0,0.0,0.0,0
120,Dunk,5,2,0,1,0,0,223,425.4,115.7,128.0,2081
122,Estupiñan,5,2,1,1,0,7,313,504.4,530.1,173.0,2399
124,Gilmour,5,3,0,0,0,0,21,11.4,11.9,2.0,97
125,Gross,5,3,0,0,0,0,0,0.0,0.0,0.0,0
126,Hinshelwood,5,3,5,3,0,8,404,394.6,268.1,304.0,1839
127,I.Osman,5,3,0,0,0,0,0,0.0,0.0,0.0,0
128,Igor,5,2,0,0,0,0,113,189.6,54.7,4.0,959
