id,web_name,team,element_type,form,points_per_game,total_points,minutes,selected_by_percent,transfers_in_event,transfers_out_event
93,Hickey,4,2,0.0,0.0,0,0,0.0,0,0
94,Janelt,4,3,0.0,2.3,73,2251,0.2,0,0
95,Jensen,4,3,1.0,1.6,38,846,0.1,0,0
96,Ji-soo,4,2,0.0,1.0,3,28,0.3,0,0
97,Konak,4,3,0.4,1.0,10,53,0.1,0,0
98,Lewis-Potter,4,3,1.6,2.5,94,3092,0.1,0,0
99,Mbeumo,4,3,5.2,6.2,236,3415,46.7,0,0
100,Mee,4,2,0.0,1.3,9,180,0.3,0,0
101,Nørgaard,4,3,4.2,3.1,107,2820,0.2,0,0
102,Onyeka,4,3,0.0,1.0,2,23,0.0,0,0
103,Peart-Harris,4,3,0.0,0.0,0,0,0.0,0,0
104,Pinnock,4,2,0.0,2.1,47,1912,0.3,0,0
105,Roerslev,4,2,0.0,1.9,36,1100,0.1,0,0
106,Schade,4,3,7.4,3.9,149,2281,3.3,0,0
107,Thiago,4,4,0.8,1.1,9,167,0.0,0,0
108,Toney,4,4,0.0,0.0,0,0,1.1,0,0
109,Valdimarsson,4,1,0.0,1.0,2,144,2.9,0,0
110,Wissa,4,4,5.2,5.3,185,2921,24.2,0,0
111,Yarmoliuk,4,3,2.0,1.4,43,1435,2.3,0,0
112,Zanka,4,2,0.0,0.0,0,0,0.0,0,0
314,Carvalho,4,3,0.0,1.8,35,443,0.4,0,0
338,Van den Berg,4,2,3.0,2.0,62,2584,1.5,0,0
602,Trevitt,4,3,0.0,1.0,1,3,0.0,0,0
634,G.Nunes,4,3,0.2,1.0,3,11,0.0,0,0
649,Meghoma,4,2,0.0,1.0,1,4,0.0,0,0
661,Yogane,4,3,0.0,0.0,0,0,0.0,0,0
674,Maghoma,4,3,0.0,1.0,8,112,0.0,0,0
705,Arthur,4,2,0.0,0.0,0,0,0.0,0,0
752,Frank,4,5,9.0,0.0,116,0,15.1,0,0
757,Kayode,4,2,4.0,2.2,27,523,0.1,0,0
759,Eyestone,4,1,0.0,0.0,0,0,0.0,0,0
780,Morgan,4,4,0.0,0.0,0,0,0.0,0,0
786,Benjamin Fredrick,4,2,0.0,0.0,0,0,0.0,0,0
113,Adingra,5,3,2.5,2.1,60,1081,0.3,0,0
114,Baker-Boaitey,5,3,0.0,0.0,0,0,0.0,0,0
