id,web_name,team,element_type,clean_sheets,goals_conceded,minutes,total_points,now_cost
332,N.Phillips,12,2,0,0,0,0,40
333,Quansah,12,2,0,12,488,9,39
334,R.Williams,12,2,0,0,0,0,40
335,Robertson,12,2,10,32,2479,91,58
337,Tsimikas,12,2,4,8,829,43,46
339,Virgil,12,2,14,38,3330,143,67
660,Jaros,12,1,0,0,11,1,40
669,Davies,12,1,0,0,0,0,40
692,Nallo,12,2,0,0,0,0,40
340,Akanji,13,2,6,28,2012,61,53
341,Aké,13,2,3,11,677,25,53
344,Carson,13,1,0,0,0,0,39
347,Ederson M.,13,1,10,26,2320,111,53
350,Gvardiol,13,2,13,41,3278,153,65
353,João Cancelo,13,2,0,0,0,0,53
355,Lewis,13,2,5,27,1888,66,43
358,Ortega Moreno,13,1,3,18,1099,35,52
361,Rúben,13,2,11,21,2269,90,55
362,Stones,13,2,1,11,544,29,53
363,Walker,13,2,0,21,966,13,51
626,Kaboré,13,2,0,0,0,0,45
672,Simpson-Pusey,13,2,0,2,95,1,40
675,Wilson-Esbrand,13,2,0,0,0,0,40
703,Alleyne,13,2,0,0,0,0,40
704,Brits,13,1,0,0,0,0,40
732,Khusanov,13,2,2,6,503,14,50
733,Vitor Reis,13,2,0,0,1,1,45
367,Bayindir,14,1,1,10,360,8,43
369,Dalot,14,2,8,45,2812,95,50
371,Evans,14,2,1,2,312,15,44
374,Heaton,14,1,0,0,0,0,39
376,Lindelof,14,2,2,9,695,27,43
377,Maguire,14,2,3,27,1751,48,49
379,Malacia,14,2,0,1,99,2,44
380,Martinez,14,2,6,27,1751,68,43
383,Onana,14,1,9,44,3060,120,49
387,Shaw,14,2,0,5,346,5,49
572,Yoro,14,2,1,24,1160,22,43
593,De Ligt,14,2,4,36,2119,68,48
594,Mazraoui,14,2,7,43,2836,88,42
658,Heaven,14,2,1,1,169,10,40
670,Amass,14,2,0,9,345,4,40
691,Kukonki,14,2,0,0,0,0,40
761,Harrison,14,1,0,0,0,0,40
766,Dorgu,14,2,2,12,840,18,45
777,Fredricson,14,2,0,5,166,2,40
783,Graczyk,14,1,0,0,0,0,40
788,Dermot Mee,14,1,0,0,0,0,40
390,A.Murphy,15,2,0,0,0,0,40
393,Botman,15,2,2,4,412,18,44
395,Burn,15,2,13,45,3330,115,46
396,Dúbravka,15,1,5,12,900,44,40
399,Hall,15,2,8,31,2188,102,47
404,Kelly,15,2,0,6,299,12,42
405,Krafth,15,2,1,2,334,17,43
407,Lascelles,15,2,0,0,0,0,45
