id,web_name,team,element_type,now_cost,total_points,points_per_game,value_season,minutes,form
663,Samuels,5,2,40,0,0.0,0.0,0,0.0
668,Cahill,5,1,39,0,0.0,0.0,0,0.0
681,McConville,5,2,40,0,0.0,0.0,0,0.0
685,Slater,5,2,40,0,0.0,0.0,0,0.0
739,Hürzeler,5,5,11,119,0.0,108.2,0,12.0
758,Knight,5,3,45,0,0.0,0.0,0,0.0
763,Cashin,5,2,45,1,0.5,0.2,19,0.0
791,Charlie Tasker,5,2,40,0,0.0,0.0,0,0.0
794,Freddie Simmonds,5,2,40,0,0.0,0.0,0,0.0
795,Harry Howell,5,3,45,1,1.0,0.2,6,0.2
150,Andrey Santos,6,3,45,0,0.0,0.0,0,0.0
151,Ângelo,6,3,45,0,0.0,0.0,0,0.0
153,B.Badiashile,6,2,42,7,1.4,1.7,332,0.0
154,Bergström,6,1,39,0,0.0,0.0,0,0.0
155,Bettinelli,6,1,39,0,0.0,0.0,0,0.0
157,Caicedo,6,3,49,98,2.6,20.0,3351,3.2
158,Casadei,6,3,44,0,0.0,0.0,0,0.0
159,Chalobah,6,2,44,93,3.7,21.1,1969,0.8
161,Chukwuemeka,6,3,47,0,0.0,0.0,0,0.0
162,Colwill,6,2,44,109,3.1,24.8,3150,5.8
165,Deivid,6,4,49,0,0.0,0.0,0,0.0
168,Enzo,6,3,47,135,3.8,28.7,2943,4.0
170,Gilchrist,6,2,40,0,0.0,0.0,0,0.0
171,Gusto,6,2,49,60,1.9,12.2,1853,1.0
172,James,6,2,48,54,2.8,11.2,1057,4.5
173,Kellyman,6,3,43,0,0.0,0.0,0,0.0
174,Lavia,6,3,45,26,1.6,5.8,792,1.8
176,M.Sarr,6,2,45,0,0.0,0.0,0,0.0
178,Marc Guiu,6,4,47,3,1.0,0.6,71,0.0
183,Petrović,6,1,44,0,0.0,0.0,0,0.0
184,Renato Veiga,6,3,44,7,1.0,1.6,176,0.0
185,Sánchez,6,1,45,126,3.9,28.0,2880,4.0
187,Tosin,6,2,42,71,3.2,16.9,1403,3.5
189,W.Fofana,6,2,43,26,1.9,6.0,1172,0.0
575,Wiley,6,2,40,0,0.0,0.0,0,0.0
581,Jørgensen,6,1,42,18,3.0,4.3,540,0.0
695,Rak-Sakyi,6,3,45,0,0.0,0.0,0,0.0
696,George,6,3,45,17,2.1,3.8,177,0.8
697,Acheampong,6,2,40,4,1.0,1.0,168,0.0
740,Maresca,6,5,15,94,0.0,62.7,0,6.8
771,Amougou,6,3,45,1,1.0,0.2,7,0.0
774,Anselmino,6,2,40,0,0.0,0.0,0,0.0
781,Mheuka,6,4,45,1,1.0,0.2,1,0.0
782,Samuels-Smith,6,2,40,0,0.0,0.0,0,0.0
787,Genesis Antwi,6,2,40,0,0.0,0.0,0,0.0
160,Chilwell,7,2,46,13,1.6,2.8,254,2.0
190,Ahamada,7,3,45,0,0.0,0.0,0,0.0
193,C.Doucouré,7,3,48,19,1.5,4.0,443,0.0
194,C.Richards,7,2,44,68,2.8,15.5,1921,2.8
195,Chadi Riad,7,2,43,1,1.0,0.2,90,0.0
196,Clyne,7,2,43,18,1.4,4.2,477,0.0
197,Ebiowei,7,3,45,0,0.0,0.0,0,0.0
200,Guéhi,7,2,47,116,3.4,24.7,3059,2.2
201,Henderson,7,1,46,135,3.6,29.3,3420,3.0
202,Holding,7,2,42,0,0.0,0.0,0,0.0
203,Hughes,7,3,49,67,2.0,13.7,2100,2.0
206,Lerma,7,3,48,58,1.8,12.1,2270,1.8
208,M.França,7,3,44,9,2.2,2.0,52,0.5
209,Matthews,7,1,39,0,0.0,0.0,0,0.0
210,Mitchell,7,2,48,123,3.3,25.6,3090,4.0
212,Ozoh,7,3,45,0,0.0,0.0,0,0.0
213,Rak-Sakyi,7,3,45,0,0.0,0.0,0,0.0
214,Schlupp,7,3,46,12,1.0,2.6,95,0.0
215,Ward,7,2,43,1,0.5,0.2,71,0.0
216,Wharton,7,3,47,42,2.1,8.9,1314,0.8
445,Turner,7,1,39,0,0.0,0.0,0,0.0
644,Umeh-Chibueze,7,3,44,0,0.0,0.0,0,0.0
645,Devenny,7,3,45,34,1.5,7.6,494,1.5
646,Agbinone,7,3,45,2,1.0,0.4,4,0.0
647,Rodney,7,3,45,0,0.0,0.0,0,0.0
650,Lacroix,7,2,45,114,3.3,25.3,3116,2.8
666,Kporha,7,2,40,2,1.0,0.5,11,0.0
676,Marsh,7,4,45,0,0.0,0.0,0,0.0
