id,web_name,team,element_type,bonus,bps,total_points,minutes,influence,creativity,threat
71,Kluivert,3,3,14,532,158,2339,700.0,654.1,771.0
72,Mepham,3,2,0,0,0,0,0.0,0.0,0.0
74,O.Dango,3,3,7,432,111,1998,624.6,496.8,754.0
75,Paulsen,3,1,0,0,0,0,0.0,0.0,0.0
76,Philip,3,3,0,52,10,176,54.0,102.4,47.0
77,Scott,3,3,0,132,26,745,141.6,171.6,118.0
78,Semenyo,3,3,14,571,165,3202,792.2,688.9,1204.0
79,Senesi,3,2,3,114,31,1103,271.6,84.2,39.0
80,Sinisterra,3,3,2,90,23,229,112.0,115.3,195.0
81,Smith,3,2,0,161,57,1586,181.8,147.2,24.0
83,Tavernier,3,3,4,362,87,1932,447.0,664.8,442.0
84,Travers,3,1,1,76,19,450,146.4,0.0,0.0
85,Zabarnyi,3,2,8,429,94,3109,651.4,177.0,88.0
152,Arrizabalaga,3,1,7,406,106,2790,744.4,10.4,4.0
580,Huijsen,3,2,14,449,104,2422,826.4,217.6,193.0
592,J.Araujo,3,2,0,20,12,492,56.8,30.6,4.0
599,Dennis,3,1,0,0,0,0,0.0,0.0,0.0
617,Evanilson,3,4,20,487,128,2317,456.0,331.9,966.0
680,Kinsey,3,2,0,0,0,0,0.0,0.0,0.0
687,Winterburn,3,3,0,14,4,22,2.4,0.2,2.0
702,Harris,3,2,0,0,0,0,0.0,0.0,0.0
707,Rees-Dottin,3,4,0,3,1,1,0.0,0.0,0.0
712,Akinmboni,3,2,0,0,0,0,0.0,0.0,0.0
713,Soler,3,2,0,8,3,9,2.2,1.8,0.0
722,Adu-Adjei,3,4,0,0,0,0,0.0,0.0,0.0
723,Sadi,3,3,0,0,0,0,0.0,0.0,0.0
727,McKenna,3,1,0,0,0,0,0.0,0.0,0.0
728,Silcott-Duberry,3,3,0,5,1,1,2.0,1.0,0.0
738,Iraola,3,5,0,0,82,0,0.0,0.0,0.0
86,Ajer,4,2,0,120,39,1433,199.0,128.1,158.0
87,Brierley,4,3,0,0,0,0,0.0,0.0,0.0
88,Collins,4,2,11,549,127,3420,1023.2,160.5,311.0
89,Damsgaard,4,3,10,611,131,2911,714.8,1006.4,338.0
90,Dasilva,4,3,0,0,0,0,0.0,0.0,0.0
91,Flekken,4,1,12,584,138,3275,1298.4,30.3,0.0
92,Henry,4,2,0,5,4,94,13.6,2.1,2.0
93,Hickey,4,2,0,0,0,0,0.0,0.0,0.0
94,Janelt,4,3,2,384,73,2251,356.6,284.2,131.0
95,Jensen,4,3,1,179,38,846,157.0,249.5,32.0
96,Ji-soo,4,2,0,8,3,28,5.0,0.8,0.0
97,Konak,4,3,0,30,10,53,8.0,4.5,3.0
98,Lewis-Potter,4,3,0,460,94,3092,542.0,462.2,391.0
99,Mbeumo,4,3,29,948,236,3415,1236.8,1107.5,1060.0
100,Mee,4,2,0,30,9,180,36.8,3.0,6.0
101,Nørgaard,4,3,7,580,107,2820,735.4,333.0,409.0
102,Onyeka,4,3,0,3,2,23,0.0,0.5,0.0
103,Peart-Harris,4,3,0,0,0,0,0.0,0.0,0.0
104,Pinnock,4,2,0,233,47,1912,540.2,101.2,193.0
105,Roerslev,4,2,0,125,36,1100,214.4,185.8,78.0
106,Schade,4,3,12,498,149,2281,630.8,312.7,892.0
107,Thiago,4,4,0,32,9,167,18.2,30.6,12.0
108,Toney,4,4,0,0,0,0,0.0,0.0,0.0
109,Valdimarsson,4,1,0,14,2,144,21.4,0.1,0.0
110,Wissa,4,4,32,739,185,2921,849.4,400.0,1181.0
111,Yarmoliuk,4,3,0,255,43,1435,259.6,196.1,89.0
112,Zanka,4,2,0,0,0,0,0.0,0.0,0.0
314,Carvalho,4,3,1,127,35,443,142.2,71.5,154.0
338,Van den Berg,4,2,1,266,62,2584,587.4,108.3,226.0
602,Trevitt,4,3,0,5,1,3,2.6,0.1,0.0
634,G.Nunes,4,3,0,11,3,11,10.0,0.3,2.0
649,Meghoma,4,2,0,3,1,4,0.2,0.3,0.0
661,Yogane,4,3,0,0,0,0,0.0,0.0,0.0
674,Maghoma,4,3,0,32,8,112,27.8,15.8,10.0
705,Arthur,4,2,0,0,0,0,0.0,0.0,0.0
752,Frank,4,5,0,0,116,0,0.0,0.0,0.0
757,Kayode,4,2,0,115,27,523,105.2,105.2,30.0
759,Eyestone,4,1,0,0,0,0,0.0,0.0,0.0
780,Morgan,4,4,0,0,0,0,0.0,0.0,0.0
786,Benjamin Fredrick,4,2,0,0,0,0,0.0,0.0,0.0
113,Adingra,5,3,0,207,60,1081,212.4,261.9,337.0
114,Baker-Boaitey,5,3,0,0,0,0,0.0,0.0,0.0
115,Baleba,5,3,7,490,87,2660,515.4,343.7,193.0
116,Barco,5,2,0,0,0,0,0.0,0.0,0.0
118,Cozier-Duberry,5,3,0,0,0,0,0.0,0.0,0.0
119,Dahoud,5,3,0,0,0,0,0.0,0.0,0.0
120,Dunk,5,2,0,223,44,2081,425.4,115.7,128.0
122,Estupiñan,5,2,7,313,63,2399,504.4,530.1,173.0
124,Gilmour,5,3,0,21,3,97,11.4,11.9,2.0
125,Gross,5,3,0,0,0,0,0.0,0.0,0.0
126,Hinshelwood,5,3,8,404,89,1839,394.6,268.1,304.0
127,I.Osman,5,3,0,0,0,0,0.0,0.0,0.0
128,Igor,5,2,0,113,18,959,189.6,54.7,4.0
129,João Pedro,5,4,26,516,126,1946,567.0,456.0,644.0
130,Kozlowski,5,3,0,0,0,0,0.0,0.0,0.0
131,Lamptey,5,2,1,99,42,856,213.6,101.0,52.0
132,March,5,3,0,25,7,161,24.0,59.6,18.0
133,Mazilu,5,3,0,0,0,0,0.0,0.0,0.0
134,Milner,5,3,0,27,6,170,28.6,66.3,12.0
135,Minteh,5,3,8,398,102,1831,523.8,448.9,615.0
136,Mitoma,5,3,12,536,145,2597,670.6,578.0,856.0
137,Moder,5,3,0,17,4,9,15.8,36.0,2.0
138,O’Mahony,5,4,0,0,0,0,0.0,0.0,0.0
139,Offiah,5,2,0,0,0,0,0.0,0.0,0.0
140,Peupion,5,3,0,0,0,0,0.0,0.0,0.0
141,Sarmiento,5,3,0,3,1,8,0.2,0.8,0.0
142,Steele,5,1,1,46,9,180,40.4,0.0,0.0
143,Undav,5,4,0,0,0,0,0.0,0.0,0.0
144,Van Hecke,5,2,7,406,87,2960,736.6,261.8,182.0
145,Veltman,5,2,7,249,59,1694,273.0,147.2,59.0
146,Verbruggen,5,1,6,366,103,3240,849.8,10.0,0.0
147,Webster,5,2,2,167,39,885,198.4,49.7,55.0
148,Welbeck,5,4,21,484,125,2109,550.2,331.3,676.0
149,Wieffer,5,3,4,243,52,1003,328.8,230.4,129.0
595,Gruda,5,3,1,176,45,676,196.6,311.6,187.0
600,Ayari,5,3,3,358,74,1958,363.2,507.5,247.0
601,Moran,5,3,0,0,0,0,0.0,0.0,0.0
615,Rushworth,5,1,0,0,0,0,0.0,0.0,0.0
618,Georginio,5,3,1,288,95,1651,355.4,281.8,404.0
