id,web_name,team,element_type,now_cost,total_points,value_season,value_rank,minutes
373,Hannibal,14,3,45,0,0.0,302.5,0
374,Heaton,14,1,39,0,0.0,63.5,0
375,Højlund,14,4,69,78,11.3,45.0,1998
376,Lindelof,14,2,43,27,6.3,33.5,695
377,Maguire,14,2,49,48,9.8,1.5,1751
378,Mainoo,14,3,52,42,8.1,22.0,1646
379,Malacia,14,2,44,2,0.5,176.5,99
380,Martinez,14,2,43,68,15.8,119.0,1751
381,McTominay,14,3,49,2,0.4,241.5,17
382,Mount,14,3,63,25,4.0,69.5,613
383,Onana,14,1,49,120,24.5,15.0,3060
384,Pellistri,14,3,50,0,0.0,302.5,0
387,Shaw,14,2,49,5,1.0,165.5,346
389,Zirkzee,14,4,65,64,9.8,2.0,1385
572,Yoro,14,2,43,22,5.1,40.0,1160
593,De Ligt,14,2,48,68,14.2,127.0,2119
594,Mazraoui,14,2,42,88,21.0,86.0,2836
613,Collyer,14,3,45,6,1.3,222.0,174
648,Wheatley,14,4,45,0,0.0,75.5,0
652,Ugarte,14,3,49,49,10.0,209.5,1777
658,Heaven,14,2,40,10,2.5,98.5,169
667,Fletcher,14,3,45,0,0.0,302.5,0
670,Amass,14,2,40,4,1.0,165.5,345
673,Fitzgerald,14,3,45,0,0.0,302.5,0
691,Kukonki,14,2,40,0,0.0,232.0,0
745,Amorim,14,5,8,86,107.5,19.0,0
761,Harrison,14,1,40,0,0.0,63.5,0
766,Dorgu,14,2,45,18,4.0,50.0,840
776,Obi,14,4,45,7,1.6,48.0,160
777,Fredricson,14,2,40,2,0.5,176.5,166
778,Moorhouse,14,3,45,0,0.0,302.5,0
779,Koné,14,3,45,0,0.0,302.5,0
783,Graczyk,14,1,40,0,0.0,63.5,0
788,Dermot Mee,14,1,40,0,0.0,63.5,0
390,A.Murphy,15,2,40,0,0.0,232.0,0
391,Almirón,15,3,54,10,1.9,213.5,150
392,Barnes,15,3,59,130,22.0,101.0,1746
393,Botman,15,2,44,18,4.1,48.0,412
394,Bruno G.,15,3,62,135,21.8,103.0,3273
395,Burn,15,2,46,115,25.0,67.0,3330
396,Dúbravka,15,1,40,44,11.0,36.0,900
398,Gordon,15,3,74,124,16.8,149.0,2428
399,Hall,15,2,47,102,21.7,81.0,2188
400,Hayden,15,3,44,0,0.0,302.5,0
401,Isak,15,4,94,211,22.4,29.0,2758
402,J.Murphy,15,3,52,159,30.6,71.0,2356
403,Joelinton,15,3,60,99,16.5,152.0,2394
404,Kelly,15,2,42,12,2.9,92.0,299
405,Krafth,15,2,43,17,4.0,50.0,334
406,Kuol,15,3,44,0,0.0,302.5,0
407,Lascelles,15,2,45,0,0.0,232.0,0
408,Lewis,15,2,40,0,0.0,232.0,0
409,Livramento,15,2,46,105,22.8,78.0,2835
410,Longstaff,15,3,44,34,7.7,28.0,783
411,Miley,15,3,50,21,4.2,66.5,304
412,Odysseas,15,1,42,0,0.0,63.5,0
413,Pope,15,1,50,102,20.4,23.5,2520
414,Ruddy,15,1,39,0,0.0,63.5,0
415,Schär,15,2,55,118,21.5,82.0,2935
416,Targett,15,2,39,2,0.5,176.5,20
417,Tonali,15,3,55,106,19.3,127.0,2625
418,Trippier,15,2,56,72,12.9,135.0,1299
419,White,15,3,45,0,0.0,302.5,0
420,Willock,15,3,47,46,9.8,2.5,1065
421,Wilson,15,4,69,19,2.8,34.0,355
574,Pivas,15,2,40,0,0.0,232.0,0
590,Osula,15,4,49,19,3.9,19.0,124
746,Howe,15,5,15,97,64.7,9.0,0
789,Neave,15,4,45,0,0.0,75.5,0
26,Alex Moreno,16,2,42,34,8.1,14.5,952
422,Aina,16,2,53,128,24.2,72.5,2996
423,Anderson,16,3,50,107,21.4,104.0,2726
424,Awoniyi,16,4,55,32,5.8,14.0,398
425,Boly,16,2,42,6,1.4,161.0,146
426,Bowler,16,3,45,0,0.0,302.5,0
427,C.Miguel,16,1,41,0,0.0,63.5,0
428,Da Silva Moreira,16,3,43,2,0.5,236.5,28
429,Danilo,16,3,47,11,2.3,120.0,270
430,Dennis,16,4,49,0,0.0,75.5,0
431,Dominguez,16,3,48,54,11.2,195.0,1954
432,Elanga,16,3,55,153,27.8,82.5,2496
433,Gibbs-White,16,3,65,154,23.7,93.0,2806
434,Hudson-Odoi,16,3,51,103,20.2,111.0,2190
435,Mighten,16,3,45,0,0.0,302.5,0
436,Murillo,16,2,47,130,27.7,59.0,3188
437,N.Williams,16,2,45,109,24.2,72.5,2588
438,O.Richards,16,2,45,0,0.0,232.0,0
439,O'Brien,16,3,50,0,0.0,302.5,0
440,Omobamidele,16,2,42,0,0.0,232.0,0
441,Panzo,16,2,40,0,0.0,232.0,0
442,Sangaré,16,3,43,20,4.7,61.5,584
443,Sels,16,1,52,150,28.8,12.0,3420
444,Toffolo,16,2,42,4,1.0,165.5,135
446,Ui-jo,16,4,45,0,0.0,75.5,0
447,Wood,16,4,72,200,27.8,21.0,2958
448,Worrall,16,2,45,0,0.0,232.0,0
449,Yates,16,3,48,67,14.0,175.5,1901
573,Milenković,16,2,52,145,27.9,58.0,3330
596,Jota Silva,16,3,59,52,8.8,13.0,835
620,Sosa,16,3,55,25,4.5,64.0,280
653,Morato,16,2,45,36,8.0,16.0,891
706,Abbott,16,2,40,0,0.0,232.0,0
721,Hennessey,16,1,40,0,0.0,63.5,0
747,Nuno,16,5,11,78,70.9,7.0,0
14,Ramsdale,17,1,44,97,22.0,20.0,2700
27,Archer,17,4,48,57,11.9,43.0,1421
188,Ugochukwu,17,3,44,47,10.7,199.0,1652
397,Fraser,17,3,48,7,1.5,219.5,303
451,Amo-Ameyaw,17,3,44,1,0.2,251.0,26
452,Aribo,17,3,49,72,14.7,168.5,2007
453,Armstrong,17,4,51,45,8.8,6.0,1246
454,Bazunu,17,1,43,0,0.0,63.5,0
455,Bednarek,17,2,40,60,15.0,124.0,2531
456,Bella-Kotchap,17,2,39,2,0.5,176.5,329
457,Bree,17,2,39,23,5.9,37.0,1070
458,Charles,17,3,45,0,0.0,302.5,0
459,Edozie,17,3,49,1,0.2,251.0,64
460,Edwards,17,2,39,1,0.3,181.5,12
461,Harwood-Bellis,17,2,39,55,14.1,128.0,2824
462,Kamaldeen,17,3,50,53,10.6,201.0,1394
463,Lallana,17,3,50,17,3.4,74.0,352
464,Larios,17,2,39,0,0.0,232.0,0
465,Lis,17,1,40,0,0.0,63.5,0
466,Lumley,17,1,40,8,2.0,29.5,270
467,Manning,17,2,43,34,7.9,18.0,1458
468,Mara,17,4,50,0,0.0,75.5,0
469,McCarthy,17,1,42,12,2.9,25.5,450
470,Onuachu,17,4,49,51,10.4,46.0,1038
471,Smallbone,17,3,50,26,5.2,56.5,679
472,Stephens,17,2,40,31,7.8,20.0,1389
473,Stewart,17,4,44,20,4.5,17.0,382
474,Sugawara,17,2,42,43,10.2,154.0,1548
475,Taylor,17,2,39,6,1.5,159.5,353
476,Walker-Peters,17,2,42,54,12.9,135.0,2918
477,Wood,17,2,39,14,3.6,52.5,771
515,Cornet,17,3,47,1,0.2,251.0,71
518,Downes,17,3,47,48,10.2,206.0,2149
584,Brereton Díaz,17,3,48,13,2.7,115.0,446
608,Dibling,17,3,43,68,15.8,157.5,1863
623,M.Fernandes,17,3,50,95,19.0,129.5,2911
693,O'Brien-Whitmarsh,17,3,45,0,0.0,302.5,0
718,Welington,17,2,40,14,3.5,54.0,478
719,Kayi Sanda,17,2,40,2,0.5,176.5,12
734,Grønbæk,17,3,49,6,1.2,223.5,141
748,Rusk,17,5,5,38,76.0,4.0,0
798,Jay Robinson,17,4,44,5,1.1,52.0,134
804,Moore,17,2,40,0,0.0,232.0,0
82,Solanke,18,4,73,108,14.8,40.0,2199
478,A.Phillips,18,2,40,0,0.0,232.0,0
479,Austin,18,1,40,1,0.2,43.5,90
480,Bentancur,18,3,49,49,10.0,209.5,1640
481,Bergvall,18,3,44,44,10.0,209.5,1200
482,Bissouma,18,3,48,50,10.4,204.5,1396
483,Bryan,18,3,50,0,0.0,302.5,0
484,Davies,18,2,43,28,6.5,32.0,1329
485,Devine,18,3,45,0,0.0,302.5,0
486,Dragusin,18,2,43,24,5.6,38.0,1250
487,E.Royal,18,2,45,0,0.0,232.0,0
488,Forster,18,1,43,19,4.4,4.0,630
489,Gray,18,3,46,45,9.8,2.5,1750
490,Højbjerg,18,3,50,0,0.0,302.5,0
491,Johnson,18,3,62,137,22.1,99.0,2171
492,Kulusevski,18,3,62,117,18.9,131.0,2386
493,Lo Celso,18,3,49,0,0.0,302.5,0
494,Maddison,18,3,74,133,18.0,140.0,1799
495,Pedro Porro,18,2,52,98,18.8,108.0,2606
496,Reguilón,18,2,41,2,0.5,176.5,194
497,Richarlison,18,4,68,35,5.1,15.5,497
498,Romero,18,2,49,49,10.0,155.0,1416
499,P.M.Sarr,18,3,47,71,15.1,164.0,1901
500,Scarlett,18,4,44,6,1.4,50.5,31
502,Solomon,18,3,54,0,0.0,302.5,0
503,Son,18,3,97,129,13.3,181.0,2106
504,Spence,18,2,44,51,11.6,144.0,1790
505,Udogie,18,2,48,43,9.0,8.0,1923
506,Van de Ven,18,2,45,32,7.1,24.0,1014
507,Veliz,18,4,50,0,0.0,75.5,0
508,Vicario,18,1,48,66,13.8,33.0,2160
509,Werner,18,3,62,34,5.5,53.0,504
510,Whiteman,18,1,39,0,0.0,63.5,0
609,Lankshear,18,4,45,3,0.7,53.0,10
610,Moore,18,3,45,19,4.2,66.5,359
612,Odobert,18,3,53,34,6.4,41.0,843
683,Olusesi,18,3,45,0,0.0,302.5,0
684,Hardy,18,2,40,0,0.0,232.0,0
689,Williams-Barnett,18,3,45,0,0.0,302.5,0
699,Dorrington,18,2,40,1,0.2,189.5,13
700,King,18,2,40,0,0.0,232.0,0
716,Kinsky,18,1,41,17,4.1,7.0,540
717,Yang,18,3,45,0,0.0,302.5,0
729,Ajayi,18,3,45,0,0.0,302.5,0
749,Postecoglou,18,5,11,58,52.7,11.0,0
760,Cassanova,18,2,40,0,0.0,232.0,0
767,Danso,18,2,44,16,3.6,52.5,842
768,Tel,18,3,58,42,7.2,35.5,908
123,Ferguson,19,4,55,28,5.1,15.5,385
388,Wan-Bissaka,19,2,45,118,26.2,63.0,3154
511,Álvarez,19,3,50,40,8.0,23.5,1769
512,Antonio,19,4,52,42,8.1,8.0,834
513,Areola,19,1,42,69,16.4,31.0,2259
514,Bowen,19,3,79,193,24.4,90.5,2974
516,Coufal,19,2,41,27,6.6,31.0,1056
517,Cresswell,19,2,39,36,9.2,6.0,818
519,Earthy,19,3,45,0,0.0,302.5,0
520,Emerson,19,2,44,76,17.3,113.5,2108
521,Fabianski,19,1,39,39,10.0,37.0,1160
522,Foderingham,19,1,42,0,0.0,63.5,0
523,Ings,19,4,48,32,6.7,10.0,270
524,Kilman,19,2,43,82,19.1,106.0,3348
525,Kudus,19,3,62,106,17.1,146.0,2589
526,L.Guilherme,19,3,46,12,2.6,117.0,139
527,L.Paquetá,19,3,57,80,14.0,175.5,2374
528,Mavropanos,19,2,43,45,10.5,152.5,2035
529,N.Aguerd,19,2,44,0,0.0,232.0,0
530,Souček,19,3,48,126,26.2,87.0,2563
531,Ward-Prowse,19,3,61,51,8.4,18.0,1433
532,Zouma,19,2,44,0,0.0,232.0,0
576,Irving,19,3,47,9,1.9,213.5,161
587,Summerville,19,3,55,33,6.0,46.5,776
588,G.Rodríguez,19,3,48,36,7.5,32.0,1147
589,Füllkrug,19,4,67,42,6.3,12.0,783
591,Todibo,19,2,42,54,12.9,135.0,1824
643,Casey,19,2,40,1,0.2,189.5,1
654,C.Soler,19,3,50,47,9.4,6.5,1394
677,Scarles,19,2,40,29,7.2,22.5,659
686,Mayers,19,2,40,0,0.0,232.0,0
701,Orford,19,3,45,2,0.4,241.5,47
750,Potter,19,5,5,84,168.0,13.0,0
204,Johnstone,20,1,41,12,2.9,25.5,630
533,Aït-Nouri,20,2,51,125,24.5,71.0,3112
534,B.Traore,20,3,48,1,0.2,251.0,1
535,Bellegarde,20,3,49,90,18.4,135.0,1666
536,Bentley,20,1,39,9,2.3,27.0,180
537,Chiquinho,20,3,45,1,0.2,251.0,6
538,Chirewa,20,3,45,0,0.0,302.5,0
539,Chiwome,20,4,44,0,0.0,75.5,0
540,Cundle,20,3,45,0,0.0,302.5,0
541,Cunha,20,4,70,178,25.4,24.0,2596
542,Dawson,20,2,42,17,4.0,50.0,969
543,Doherty,20,2,43,75,17.4,112.0,2105
544,Doyle,20,3,47,28,6.0,46.5,474
545,Fábio Silva,20,4,50,0,0.0,75.5,0
546,Fraser,20,4,45,0,0.0,75.5,0
547,Gonzalez,20,3,44,0,0.0,302.5,0
548,Guedes,20,3,53,62,11.7,191.5,979
549,H.Bueno,20,2,45,0,0.0,232.0,0
550,Hee Chan,20,3,61,37,6.1,45.0,646
551,Hodge,20,3,45,0,0.0,302.5,0
552,Hoever,20,2,40,0,0.0,232.0,0
553,J.Gomes,20,3,49,87,17.8,142.0,2975
554,José Sá,20,1,44,93,21.1,21.0,2610
555,Kalajdžić,20,4,48,0,0.0,75.5,0
556,King,20,1,39,1,0.3,42.0,1
557,Mario Jr.,20,3,48,47,9.8,2.5,1363
558,Mosquera,20,2,38,3,0.8,171.0,441
559,N.Semedo,20,2,45,84,18.7,109.0,2889
561,Pedro Lima,20,2,39,2,0.5,176.5,69
562,Podence,20,3,55,2,0.4,241.5,46
563,R.Gomes,20,3,51,42,8.2,20.5,794
564,S.Bueno,20,2,43,52,12.1,142.5,1678
565,Sarabia,20,3,50,50,10.0,209.5,800
566,Strand Larsen,20,4,52,145,27.9,20.0,2587
567,Toti,20,2,43,79,18.4,110.0,2613
637,Meupiyou,20,2,39,0,0.0,232.0,0
642,André,20,3,50,61,12.2,184.0,2472
655,Forbs,20,3,54,9,1.7,216.0,236
664,Pond,20,2,39,1,0.3,181.5,1
682,Edozie,20,3,45,0,0.0,302.5,0
711,Okoduwa,20,2,40,0,0.0,232.0,0
720,Agbadou,20,2,40,45,11.2,146.5,1410
751,Pereira,20,5,8,111,138.8,16.0,0
769,Djiga,20,2,45,4,0.9,168.5,65
770,Munetsi,20,3,50,50,10.0,209.5,1077
784,Mané,20,4,45,1,0.2,60.0,1
