id,web_name,team,element_type,now_cost,total_points,value_season,value_rank,minutes
310,A.Becker,12,1,55,112,20.4,23.5,2508
311,Alexander-Arnold,12,2,72,148,20.6,88.0,2362
312,Bajcetic,12,3,45,0,0.0,302.5,0
313,Bradley,12,2,47,41,8.7,11.0,744
315,Clark,12,3,45,0,0.0,302.5,0
316,Darwin,12,4,70,66,9.4,3.0,1113
317,Diogo J.,12,3,72,87,12.1,186.5,1182
318,Doak,12,3,45,0,0.0,302.5,0
319,Elliott,12,3,52,33,6.3,43.5,359
320,Endo,12,3,46,21,4.6,63.0,259
321,Gakpo,12,4,72,127,17.6,37.0,1921
322,Gomez,12,2,47,14,3.0,57.0,517
323,Gravenberch,12,3,50,92,18.4,135.0,3160
324,Jones,12,3,53,87,16.4,154.5,1702
325,Kelleher,12,1,39,45,11.5,34.0,900
326,Konaté,12,2,53,106,20.0,91.0,2561
327,Luis Díaz,12,3,75,183,24.4,90.5,2393
328,M.Salah,12,3,136,344,25.3,88.0,3374
329,Mac Allister,12,3,62,122,19.7,126.0,2597
330,McConnell,12,3,43,0,0.0,302.5,0
331,Morton,12,3,44,0,0.0,302.5,0
332,N.Phillips,12,2,40,0,0.0,232.0,0
333,Quansah,12,2,39,9,2.3,101.0,488
334,R.Williams,12,2,40,0,0.0,232.0,0
335,Robertson,12,2,58,91,15.7,120.0,2479
336,Szoboszlai,12,3,61,143,23.4,94.0,2485
337,Tsimikas,12,2,46,43,9.3,5.0,829
339,Virgil,12,2,67,143,21.3,84.0,3330
636,Chiesa,12,3,68,7,1.0,227.0,103
660,Jaros,12,1,40,1,0.2,43.5,11
669,Davies,12,1,40,0,0.0,63.5,0
688,Nyoni,12,3,45,0,0.0,302.5,0
692,Nallo,12,2,40,0,0.0,232.0,0
709,Danns,12,4,45,1,0.2,60.0,10
744,Slot,12,5,15,118,78.7,3.0,0
340,Akanji,13,2,53,61,11.5,145.0,2012
341,Aké,13,2,53,25,4.7,41.5,677
342,Bernardo,13,3,61,110,18.0,140.0,2667
343,Bobb,13,3,47,3,0.6,233.0,14
