id,web_name,team,element_type,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,minutes
147,Webster,5,2,4,11,0,0,1,0,0,2,885
148,Welbeck,5,4,7,37,0,0,5,0,0,21,2109
149,Wieffer,5,3,2,22,0,0,6,0,0,4,1003
595,Gruda,5,3,1,15,0,0,0,0,0,1,676
600,Ayari,5,3,7,28,0,0,4,0,0,3,1958
601,Moran,5,3,0,0,0,0,0,0,0,0,0
615,Rushworth,5,1,0,0,0,0,0,0,0,0,0
618,Georginio,5,3,6,29,0,0,2,0,0,1,1651
628,F.Kadıoğlu,5,2,2,8,0,0,1,0,0,0,385
629,O'Riley,5,3,2,20,1,0,1,0,0,2,929
663,Samuels,5,2,0,0,0,0,0,0,0,0,0
668,Cahill,5,1,0,0,0,0,0,0,0,0,0
681,McConville,5,2,0,0,0,0,0,0,0,0,0
685,Slater,5,2,0,0,0,0,0,0,0,0,0
714,Gómez,5,3,0,13,0,0,0,0,0,2,507
739,Hürzeler,5,5,0,0,0,0,0,0,0,0,0
758,Knight,5,3,0,0,0,0,0,0,0,0,0
763,Cashin,5,2,0,2,0,0,0,0,0,0,19
791,Charlie Tasker,5,2,0,0,0,0,0,0,0,0,0
794,Freddie Simmonds,5,2,0,0,0,0,0,0,0,0,0
795,Harry Howell,5,3,0,0,0,0,0,0,0,0,6
150,Andrey Santos,6,3,0,0,0,0,0,0,0,0,0
151,Ângelo,6,3,0,0,0,0,0,0,0,0,0
153,B.Badiashile,6,2,0,5,0,0,0,0,0,0,332
154,Bergström,6,1,0,0,0,0,0,0,0,0,0
155,Bettinelli,6,1,0,0,0,0,0,0,0,0,0
157,Caicedo,6,3,12,42,0,0,11,0,0,4,3351
158,Casadei,6,3,0,0,0,0,0,0,0,0,0
159,Chalobah,6,2,6,25,0,0,3,0,0,11,1969
161,Chukwuemeka,6,3,0,0,0,0,0,0,0,0,0
162,Colwill,6,2,10,41,0,0,9,0,0,6,3150
163,Cucurella,6,2,9,38,0,0,8,1,0,14,2988
164,D.D.Fofana,6,4,0,0,0,0,0,0,0,0,0
165,Deivid,6,4,0,0,0,0,0,0,0,0,0
166,Dewsbury-Hall,6,3,0,3,0,0,0,0,0,1,257
168,Enzo,6,3,10,37,0,0,8,0,0,11,2943
169,Gallagher,6,3,0,0,0,0,0,0,0,0,0
170,Gilchrist,6,2,0,0,0,0,0,0,0,0,0
171,Gusto,6,2,4,26,0,0,4,0,0,2,1853
172,James,6,2,3,14,0,0,1,0,0,5,1057
173,Kellyman,6,3,0,0,0,0,0,0,0,0,0
174,Lavia,6,3,3,11,0,0,4,0,0,0,792
175,Lukaku,6,4,0,0,0,0,0,0,0,0,0
176,M.Sarr,6,2,0,0,0,0,0,0,0,0,0
177,Madueke,6,3,6,28,0,0,3,0,0,12,2028
178,Marc Guiu,6,4,0,2,0,0,0,0,0,0,71
179,Mudryk,6,3,0,2,0,0,0,0,0,0,145
180,N.Jackson,6,4,11,24,0,0,7,1,0,17,2220
181,Nkunku,6,3,2,16,0,0,2,0,0,5,904
182,Palmer,6,3,10,41,0,0,7,0,0,35,3193
183,Petrović,6,1,0,0,0,0,0,0,0,0,0
184,Renato Veiga,6,3,1,2,0,0,2,0,0,0,176
185,Sánchez,6,1,10,34,0,1,5,0,95,11,2880
187,Tosin,6,2,7,14,0,0,4,0,0,7,1403
189,W.Fofana,6,2,2,13,0,0,7,0,0,2,1172
386,Sancho,6,3,7,24,0,0,2,0,0,3,1754
560,Neto,6,3,8,25,0,0,8,0,0,9,2262
575,Wiley,6,2,0,0,0,0,0,0,0,0,0
581,Jørgensen,6,1,1,9,0,0,0,0,20,0,540
621,João Félix,6,3,1,4,0,0,2,0,0,0,362
695,Rak-Sakyi,6,3,0,0,0,0,0,0,0,0,0
696,George,6,3,1,0,0,0,1,0,0,0,177
697,Acheampong,6,2,0,3,0,0,1,0,0,0,168
740,Maresca,6,5,0,0,0,0,0,0,0,0,0
771,Amougou,6,3,0,0,0,0,0,0,0,0,7
774,Anselmino,6,2,0,0,0,0,0,0,0,0,0
781,Mheuka,6,4,0,0,0,0,0,0,0,0,1
782,Samuels-Smith,6,2,0,0,0,0,0,0,0,0,0
787,Genesis Antwi,6,2,0,0,0,0,0,0,0,0,0
11,Nketiah,7,4,2,17,0,0,4,1,0,4,1018
160,Chilwell,7,2,0,4,0,0,1,0,0,0,254
190,Ahamada,7,3,0,0,0,0,0,0,0,0,0
193,C.Doucouré,7,3,1,6,0,0,1,0,0,0,443
194,C.Richards,7,2,7,31,0,0,2,1,0,2,1921
195,Chadi Riad,7,2,0,2,0,0,0,0,0,0,90
196,Clyne,7,2,1,11,0,0,1,0,0,0,477
197,Ebiowei,7,3,0,0,0,0,0,0,0,0,0
199,Eze,7,3,10,34,0,0,1,0,0,15,2588
200,Guéhi,7,2,11,42,3,0,7,1,0,11,3059
201,Henderson,7,1,11,51,0,1,3,0,104,8,3420
202,Holding,7,2,0,0,0,0,0,0,0,0,0
203,Hughes,7,3,10,31,0,0,11,0,0,3,2100
205,Kamada,7,3,3,27,0,0,4,1,0,0,1545
