id,web_name,team,element_type,now_cost,cost_change_start,cost_change_event,value_form,value_season,total_points,points_per_game,selected_by_percent,transfers_in,transfers_out,transfers_in_event,transfers_out_event
103,Peart-Harris,4,3,45,0,0,0.0,0.0,0,0.0,0.0,913,4730,0,0
104,Pinnock,4,2,44,-1,0,0.0,10.7,47,2.1,0.3,187732,211708,0,0
105,Roerslev,4,2,43,-2,0,0.0,8.4,36,1.9,0.1,18746,24856,0,0
106,Schade,4,3,53,-2,0,1.4,28.1,149,3.9,3.3,707168,354286,0,0
107,Thiago,4,4,59,-1,0,0.1,1.5,9,1.1,0.0,4919,6322,0,0
108,Toney,4,4,73,-2,0,0.0,0.0,0,0.0,1.1,43376,805864,0,0
109,Valdimarsson,4,1,39,-1,0,0.0,0.5,2,1.0,2.9,477163,564324,0,0
110,Wissa,4,4,69,9,0,0.8,26.8,185,5.3,24.2,6186462,3862721,0,0
111,Yarmoliuk,4,3,43,-2,0,0.5,10.0,43,1.4,2.3,602607,665058,0,0
112,Zanka,4,2,45,0,0,0.0,0.0,0,0.0,0.0,0,4144,0,0
314,Carvalho,4,3,45,-5,0,0.0,7.8,35,1.8,0.4,187015,293210,0,0
338,Van den Berg,4,2,41,1,0,0.7,15.1,62,2.0,1.5,674947,577807,0,0
602,Trevitt,4,3,44,-1,0,0.0,0.2,1,1.0,0.0,9155,10397,0,0
634,G.Nunes,4,3,49,-1,0,0.0,0.6,3,1.0,0.0,591,567,0,0
649,Meghoma,4,2,40,0,0,0.0,0.2,1,1.0,0.0,5922,6248,0,0
661,Yogane,4,3,45,0,0,0.0,0.0,0,0.0,0.0,2806,2649,0,0
674,Maghoma,4,3,45,0,0,0.0,1.8,8,1.0,0.0,2058,1510,0,0
705,Arthur,4,2,40,0,0,0.0,0.0,0,0.0,0.0,3902,2289,0,0
752,Frank,4,5,8,0,0,11.2,145.0,116,0.0,15.1,50312,45259,0,0
757,Kayode,4,2,45,0,0,0.9,6.0,27,2.2,0.1,21242,7111,0,0
759,Eyestone,4,1,40,0,0,0.0,0.0,0,0.0,0.0,851,466,0,0
780,Morgan,4,4,45,0,0,0.0,0.0,0,0.0,0.0,4396,2127,0,0
