id,web_name,team,now_cost,total_points,saves,penalties_saved,clean_sheets,goals_conceded,bonus,minutes,form,points_per_game
248,Leno,9,50,115,110,1,5,54,5,3420,3.0,3.0
280,Slicker,10,39,0,0,0,0,0,0,0,0.0,0.0
283,Walton,10,43,16,20,0,1,19,2,630,0.5,2.3
568,Muric,10,44,49,70,0,1,33,5,1620,0.0,2.7
764,Palmer,10,45,22,45,0,0,30,0,1170,1.2,1.7
293,Hermansen,11,44,63,103,1,1,58,1,2385,0.0,2.3
294,Iversen,11,39,0,0,0,0,0,0,0,0.0,0.0
304,Stolarczyk,11,40,25,28,0,2,16,0,900,3.8,2.5
308,Ward,11,39,2,4,0,0,6,0,135,0.0,1.0
310,A.Becker,12,55,112,78,0,10,29,9,2508,2.8,4.0
325,Kelleher,12,39,45,27,1,4,12,1,900,0.0,4.5
660,Jaros,12,40,1,1,0,0,0,0,11,0.0,1.0
669,Davies,12,40,0,0,0,0,0,0,0,0.0,0.0
344,Carson,13,39,0,0,0,0,0,0,0,0.0,0.0
347,Ederson M.,13,53,111,54,0,10,26,9,2320,5.0,4.3
358,Ortega Moreno,13,52,35,33,0,3,18,0,1099,0.0,2.7
704,Brits,13,40,0,0,0,0,0,0,0,0.0,0.0
367,Bayindir,14,43,8,8,0,1,10,0,360,2.0,2.0
374,Heaton,14,39,0,0,0,0,0,0,0,0.0,0.0
383,Onana,14,49,120,90,1,9,44,8,3060,0.5,3.5
761,Harrison,14,40,0,0,0,0,0,0,0,0.0,0.0
783,Graczyk,14,40,0,0,0,0,0,0,0,0.0,0.0
788,Dermot Mee,14,40,0,0,0,0,0,0,0,0.0,0.0
396,Dúbravka,15,40,44,29,0,5,12,2,900,0.0,4.4
412,Odysseas,15,42,0,0,0,0,0,0,0,0.0,0.0
413,Pope,15,50,102,88,1,8,35,2,2520,3.8,3.6
414,Ruddy,15,39,0,0,0,0,0,0,0,0.0,0.0
427,C.Miguel,16,41,0,0,0,0,0,0,0,0.0,0.0
443,Sels,16,52,150,120,0,13,46,11,3420,1.8,3.9
721,Hennessey,16,40,0,0,0,0,0,0,0,0.0,0.0
14,Ramsdale,17,44,97,125,2,3,66,11,2700,3.8,3.2
454,Bazunu,17,43,0,0,0,0,0,0,0,0.0,0.0
465,Lis,17,40,0,0,0,0,0,0,0,0.0,0.0
466,Lumley,17,40,8,13,0,0,7,0,270,0.0,2.7
469,McCarthy,17,42,12,24,0,0,13,0,450,0.0,2.4
479,Austin,18,40,1,2,0,0,2,0,90,0.0,1.0
488,Forster,18,43,19,29,0,1,15,0,630,0.0,2.7
508,Vicario,18,48,66,68,0,4,37,2,2160,0.8,2.8
510,Whiteman,18,39,0,0,0,0,0,0,0,0.0,0.0
716,Kinsky,18,41,17,24,0,1,11,0,540,1.2,2.8
513,Areola,19,42,69,82,0,4,41,1,2259,3.0,2.7
521,Fabianski,19,39,39,50,0,2,21,2,1160,0.8,2.8
522,Foderingham,19,42,0,0,0,0,0,0,0,0.0,0.0
204,Johnstone,20,41,12,23,0,0,17,0,630,0.0,1.7
536,Bentley,20,39,9,8,0,1,4,1,180,0.5,4.5
554,José Sá,20,44,93,71,2,7,48,4,2610,1.8,3.2
556,King,20,39,1,0,0,0,0,0,1,0.2,1.0
