id,web_name,team,element_type,now_cost,cost_change_start,cost_change_event,cost_change_start_fall,cost_change_event_fall,total_points,selected_by_percent
668,Cahill,5,1,39,-1,0,1,0,0,0.9
681,McConville,5,2,40,0,0,0,0,0,0.0
685,Slater,5,2,40,0,0,0,0,0,0.0
714,Gómez,5,3,55,0,0,0,0,30,0.0
739,Hürzeler,5,5,11,0,0,0,0,119,2.3
758,Knight,5,3,45,0,0,0,0,0,0.0
763,Cashin,5,2,45,0,0,0,0,1,0.0
791,Charlie Tasker,5,2,40,0,0,0,0,0,0.0
794,Freddie Simmonds,5,2,40,0,0,0,0,0,0.0
795,Harry Howell,5,3,45,0,0,0,0,1,0.0
150,Andrey Santos,6,3,45,0,0,0,0,0,0.0
151,Ângelo,6,3,45,0,0,0,0,0,0.1
153,B.Badiashile,6,2,42,-3,0,3,0,7,0.1
154,Bergström,6,1,39,-1,0,1,0,0,0.2
155,Bettinelli,6,1,39,-1,0,1,0,0,0.4
157,Caicedo,6,3,49,-1,0,1,0,98,1.0
158,Casadei,6,3,44,-1,0,1,0,0,0.1
159,Chalobah,6,2,44,-1,0,1,0,93,0.7
161,Chukwuemeka,6,3,47,-3,0,3,0,0,0.0
162,Colwill,6,2,44,-1,0,1,0,109,2.4
163,Cucurella,6,2,54,4,0,-4,0,133,11.8
164,D.D.Fofana,6,4,54,-1,0,1,0,0,0.1
165,Deivid,6,4,49,-1,0,1,0,0,0.1
166,Dewsbury-Hall,6,3,55,-5,0,5,0,18,0.1
168,Enzo,6,3,47,-3,0,3,0,135,4.1
169,Gallagher,6,3,59,-1,0,1,0,0,0.1
170,Gilchrist,6,2,40,0,0,0,0,0,0.0
171,Gusto,6,2,49,-1,0,1,0,60,1.4
172,James,6,2,48,-2,0,2,0,54,1.1
173,Kellyman,6,3,43,-2,0,2,0,0,0.1
174,Lavia,6,3,45,0,0,0,0,26,0.4
175,Lukaku,6,4,63,-2,0,2,0,0,0.2
176,M.Sarr,6,2,45,0,0,0,0,0,0.0
177,Madueke,6,3,60,-5,0,5,0,120,3.2
178,Marc Guiu,6,4,47,-3,0,3,0,3,0.5
179,Mudryk,6,3,61,-4,0,4,0,7,0.2
180,N.Jackson,6,4,77,2,0,-2,0,121,6.2
181,Nkunku,6,3,57,-8,0,8,0,60,2.0
182,Palmer,6,3,105,0,0,0,0,214,34.3
183,Petrović,6,1,44,-1,0,1,0,0,0.1
184,Renato Veiga,6,3,44,-1,0,1,0,7,0.1
185,Sánchez,6,1,45,0,0,0,0,126,6.2
187,Tosin,6,2,42,-3,0,3,0,71,0.3
189,W.Fofana,6,2,43,-2,0,2,0,26,0.2
386,Sancho,6,3,62,-3,0,3,0,86,0.9
560,Neto,6,3,61,-4,0,4,0,104,1.4
575,Wiley,6,2,40,0,0,0,0,0,0.0
581,Jørgensen,6,1,42,-3,0,3,0,18,0.4
621,João Félix,6,3,59,-6,0,6,0,24,0.4
695,Rak-Sakyi,6,3,45,0,0,0,0,0,0.0
696,George,6,3,45,0,0,0,0,17,0.0
697,Acheampong,6,2,40,0,0,0,0,4,0.1
740,Maresca,6,5,15,0,0,0,0,94,1.7
771,Amougou,6,3,45,0,0,0,0,1,0.0
774,Anselmino,6,2,40,0,0,0,0,0,0.0
781,Mheuka,6,4,45,0,0,0,0,1,0.0
782,Samuels-Smith,6,2,40,0,0,0,0,0,0.0
787,Genesis Antwi,6,2,40,0,0,0,0,0,0.0
11,Nketiah,7,4,59,-1,0,1,0,53,0.7
160,Chilwell,7,2,46,-4,0,4,0,13,0.5
190,Ahamada,7,3,45,0,0,0,0,0,0.1
193,C.Doucouré,7,3,48,-2,0,2,0,19,0.0
194,C.Richards,7,2,44,-1,0,1,0,68,0.2
195,Chadi Riad,7,2,43,-2,0,2,0,1,0.0
196,Clyne,7,2,43,-2,0,2,0,18,0.1
197,Ebiowei,7,3,45,0,0,0,0,0,0.0
199,Eze,7,3,70,0,0,0,0,148,14.6
200,Guéhi,7,2,47,2,0,-2,0,116,5.7
201,Henderson,7,1,46,1,0,-1,0,135,11.7
202,Holding,7,2,42,-3,0,3,0,0,0.1
203,Hughes,7,3,49,-1,0,1,0,67,0.0
205,Kamada,7,3,51,-4,0,4,0,45,0.1
206,Lerma,7,3,48,-2,0,2,0,58,0.1
207,Mateta,7,4,75,0,0,0,0,150,8.3
208,M.França,7,3,44,-1,0,1,0,9,0.2
209,Matthews,7,1,39,-1,0,1,0,0,0.4
210,Mitchell,7,2,48,-2,0,2,0,123,2.1
211,Muñoz,7,2,52,2,0,-2,0,142,19.3
212,Ozoh,7,3,45,0,0,0,0,0,0.0
213,Rak-Sakyi,7,3,45,0,0,0,0,0,0.0
214,Schlupp,7,3,46,-4,0,4,0,12,0.0
215,Ward,7,2,43,-2,0,2,0,1,0.1
216,Wharton,7,3,47,-3,0,3,0,42,0.1
445,Turner,7,1,39,-1,0,1,0,0,7.2
585,I.Sarr,7,3,55,-5,0,5,0,149,5.3
644,Umeh-Chibueze,7,3,44,-1,0,1,0,0,0.0
645,Devenny,7,3,45,0,0,0,0,34,0.1
646,Agbinone,7,3,45,0,0,0,0,2,0.0
647,Rodney,7,3,45,0,0,0,0,0,0.0
650,Lacroix,7,2,45,0,0,0,0,114,0.9
666,Kporha,7,2,40,0,0,0,0,2,0.0
676,Marsh,7,4,45,0,0,0,0,0,0.2
730,Esse,7,3,47,-3,0,3,0,22,0.1
741,Glasner,7,5,8,0,0,0,0,128,1.9
156,Broja,8,4,53,-2,0,2,0,12,0.1
217,A.Doucoure,8,3,51,-4,0,4,0,94,0.5
