id,web_name,team,now_cost,total_points,goals_scored,assists,clean_sheets,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,minutes,form,points_per_game
190,Ahamada,7,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
193,C.Doucouré,7,48,19,0,1,1,1,0,0,71,58.6,25.7,23.0,10.8,443,0.0,1.5
197,Ebiowei,7,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
199,Eze,7,70,148,8,8,10,1,0,15,605,685.0,849.2,691.0,222.4,2588,8.8,4.4
203,Hughes,7,49,67,0,4,10,11,0,3,278,335.2,462.6,90.0,87.5,2100,2.0,2.0
205,Kamada,7,51,45,0,0,3,4,1,0,246,219.2,314.1,145.0,68.2,1545,1.2,1.3
206,Lerma,7,48,58,0,1,6,9,0,2,326,401.4,190.2,197.0,78.7,2270,1.8,1.8
208,M.França,7,44,9,1,0,0,0,0,0,34,48.4,1.2,66.0,11.5,52,0.5,2.2
212,Ozoh,7,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
213,Rak-Sakyi,7,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
214,Schlupp,7,46,12,0,0,0,0,0,0,43,22.8,42.9,46.0,11.0,95,0.0,1.0
216,Wharton,7,47,42,0,2,4,2,0,0,244,261.2,381.4,69.0,71.2,1314,0.8,2.1
585,I.Sarr,7,55,149,8,7,10,4,0,14,542,675.0,618.0,866.0,215.9,2708,5.5,3.9
644,Umeh-Chibueze,7,44,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
645,Devenny,7,45,34,1,1,0,1,0,1,129,138.8,101.8,90.0,33.2,494,1.5,1.5
646,Agbinone,7,45,2,0,0,0,0,0,0,4,4.0,10.6,1.0,1.5,4,0.0,1.0
647,Rodney,7,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
730,Esse,7,47,22,1,2,0,0,0,3,72,74.8,38.4,51.0,16.4,138,2.8,3.1
217,A.Doucoure,8,51,94,3,2,11,3,1,5,333,352.6,379.4,348.0,107.6,2563,2.2,2.8
222,Gana,8,48,89,0,3,12,9,0,5,505,522.0,327.2,117.0,96.6,3063,2.2,2.4
223,Garner,8,49,42,0,1,5,5,0,0,244,264.8,248.2,93.0,60.4,1590,2.0,2.0
224,Harrison,8,52,81,1,3,7,0,0,4,291,277.0,527.7,288.0,108.6,2068,1.8,2.4
226,Iroegbunam,8,43,22,0,1,0,4,0,0,82,122.2,40.9,32.0,19.6,562,0.5,1.2
