id,web_name,team,element_type,minutes,total_points,points_per_game,starts,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90
111,Yarmoliuk,4,3,1435,43,1.4,15,0.04,0.06,0.1
112,Zanka,4,2,0,0,0.0,0,0.0,0.0,0.0
314,Carvalho,4,3,443,35,1.8,3,0.51,0.11,0.62
338,Van den Berg,4,2,2584,62,2.0,29,0.07,0.02,0.09
602,Trevitt,4,3,3,1,1.0,0,0.0,0.0,0.0
634,G.Nunes,4,3,11,3,1.0,0,0.0,0.0,0.0
649,Meghoma,4,2,4,1,1.0,0,0.0,0.0,0.0
661,Yogane,4,3,0,0,0.0,0,0.0,0.0,0.0
674,Maghoma,4,3,112,8,1.0,0,0.1,0.03,0.13
705,Arthur,4,2,0,0,0.0,0,0.0,0.0,0.0
752,Frank,4,5,0,116,0.0,0,0.0,0.0,0.0
757,Kayode,4,2,523,27,2.2,6,0.03,0.12,0.15
759,Eyestone,4,1,0,0,0.0,0,0.0,0.0,0.0
780,Morgan,4,4,0,0,0.0,0,0.0,0.0,0.0
786,Benjamin Fredrick,4,2,0,0,0.0,0,0.0,0.0,0.0
113,Adingra,5,3,1081,60,2.1,12,0.21,0.23,0.44
114,Baker-Boaitey,5,3,0,0,0.0,0,0.0,0.0,0.0
115,Baleba,5,3,2660,87,2.6,31,0.1,0.04,0.14
116,Barco,5,2,0,0,0.0,0,0.0,0.0,0.0
118,Cozier-Duberry,5,3,0,0,0.0,0,0.0,0.0,0.0
119,Dahoud,5,3,0,0,0.0,0,0.0,0.0,0.0
120,Dunk,5,2,2081,44,1.8,23,0.04,0.04,0.08
122,Estupiñan,5,2,2399,63,2.1,26,0.04,0.09,0.13
124,Gilmour,5,3,97,3,1.5,1,0.07,0.04,0.11
125,Gross,5,3,0,0,0.0,0,0.0,0.0,0.0
126,Hinshelwood,5,3,1839,89,3.4,22,0.13,0.07,0.2
127,I.Osman,5,3,0,0,0.0,0,0.0,0.0,0.0
128,Igor,5,2,959,18,1.4,10,0.0,0.02,0.02
129,João Pedro,5,4,1946,126,4.7,23,0.41,0.14,0.55
130,Kozlowski,5,3,0,0,0.0,0,0.0,0.0,0.0
131,Lamptey,5,2,856,42,2.8,10,0.04,0.08,0.12
132,March,5,3,161,7,0.9,1,0.05,0.18,0.23
133,Mazilu,5,3,0,0,0.0,0,0.0,0.0,0.0
134,Milner,5,3,170,6,1.5,3,0.08,0.08,0.16
