id,web_name,team,element_type,status,chance_of_playing_next_round,chance_of_playing_this_round,news,news_added
372,Garnacho,14,3,a,100.0,100.0,,2024-10-07T15:30:06.108745Z
373,Hannibal,14,3,u,0.0,0.0,Permanent move to Burnley,2024-08-30T09:47:42.727251Z
374,Heaton,14,1,a,100.0,100.0,,2025-02-21T15:00:09.688681Z
375,Højlund,14,4,a,100.0,100.0,,2024-08-05T15:00:04.427374Z
376,Lindelof,14,2,a,100.0,100.0,,2024-12-20T17:00:08.474761Z
377,Maguire,14,2,a,100.0,100.0,,2025-03-06T00:00:09.433208Z
378,Mainoo,14,3,a,100.0,100.0,,2025-02-17T10:00:09.757660Z
379,Malacia,14,2,u,0.0,0.0,Loaned to PSV,2025-02-05T21:04:06.513546Z
380,Martinez,14,2,i,0.0,0.0,Knee injury - Expected back 01 Jun,2025-02-03T02:00:08.575069Z
381,McTominay,14,3,u,0.0,0.0,Transferred to Napoli,2024-08-31T06:16:49.087133Z
382,Mount,14,3,a,100.0,100.0,,2024-12-16T09:30:07.044661Z
383,Onana,14,1,a,,,,
384,Pellistri,14,3,u,0.0,0.0,Transferred to Panathinaikos,2024-08-22T11:21:35.952901Z
387,Shaw,14,2,a,100.0,100.0,,2025-03-31T14:00:06.529907Z
389,Zirkzee,14,4,a,100.0,100.0,,2025-04-14T08:30:08.062326Z
572,Yoro,14,2,a,100.0,100.0,,2025-05-11T23:00:09.478063Z
593,De Ligt,14,2,d,50.0,50.0,Knock - 50% chance of playing,2025-05-05T07:30:08.631016Z
594,Mazraoui,14,2,a,100.0,100.0,,2025-01-23T23:30:09.029563Z
613,Collyer,14,3,a,100.0,100.0,,2025-04-11T00:00:08.945658Z
648,Wheatley,14,4,u,0.0,0.0,Loaned to Walsall,2025-01-27T09:59:58.864124Z
652,Ugarte,14,3,a,100.0,100.0,,2025-03-06T00:00:09.853102Z
658,Heaven,14,2,a,100.0,100.0,,2025-04-18T15:30:08.283369Z
667,Fletcher,14,3,a,,,,
670,Amass,14,2,a,,,,
673,Fitzgerald,14,3,a,,,,
691,Kukonki,14,2,a,,,,
745,Amorim,14,5,a,,,,
761,Harrison,14,1,a,,,,
766,Dorgu,14,2,a,100.0,100.0,,2025-02-27T08:00:10.469576Z
776,Obi,14,4,a,,,,
777,Fredricson,14,2,a,,,,
778,Moorhouse,14,3,a,,,,
779,Koné,14,3,a,,,,
783,Graczyk,14,1,a,,,,
788,Dermot Mee,14,1,a,,,,
390,A.Murphy,15,2,u,0.0,0.0,Loaned to Bolton Wanderers,2025-01-22T10:15:51.022032Z
391,Almirón,15,3,u,0.0,0.0,Loaned to Atlanta United,2025-02-03T10:23:53.692418Z
392,Barnes,15,3,a,100.0,100.0,,2025-01-12T22:00:08.256604Z
393,Botman,15,2,a,100.0,100.0,,2025-05-11T23:00:09.195752Z
394,Bruno G.,15,3,a,100.0,100.0,,2024-11-26T02:30:08.074203Z
395,Burn,15,2,a,100.0,100.0,,2025-02-10T09:30:07.448812Z
396,Dúbravka,15,1,a,100.0,100.0,,2024-10-02T00:30:05.687323Z
398,Gordon,15,3,a,100.0,100.0,,2025-03-03T01:00:07.799534Z
399,Hall,15,2,i,0.0,0.0,Foot injury - Expected back 01 Jun,2025-03-03T01:00:07.813261Z
400,Hayden,15,3,u,0.0,0.0,Loaned to Portsmouth,2025-01-17T11:53:46.314664Z
401,Isak,15,4,a,100.0,75.0,,2025-05-18T20:30:07.718991Z
402,J.Murphy,15,3,a,100.0,100.0,,2025-01-13T14:00:09.130787Z
403,Joelinton,15,3,i,0.0,0.0,Knee injury - Expected back 01 Jun,2025-04-27T12:00:08.326979Z
404,Kelly,15,2,u,0.0,0.0,Loaned to Juventus,2025-02-04T10:29:36.512234Z
405,Krafth,15,2,a,100.0,100.0,,2024-11-11T16:00:06.953415Z
406,Kuol,15,3,a,,,,
407,Lascelles,15,2,a,100.0,100.0,,2024-07-17T13:30:05.035452Z
408,Lewis,15,2,u,0.0,0.0,Loaned to  Sao Paulo,2024-09-05T10:35:35.180344Z
409,Livramento,15,2,a,100.0,100.0,,2024-12-27T02:00:09.792616Z
410,Longstaff,15,3,a,,,,
411,Miley,15,3,a,100.0,100.0,,2024-07-17T13:30:05.048462Z
412,Odysseas,15,1,a,,,,
413,Pope,15,1,a,100.0,100.0,,2024-12-13T11:30:08.088931Z
414,Ruddy,15,1,a,,,,
415,Schär,15,2,a,100.0,100.0,,2025-05-05T07:30:08.372746Z
416,Targett,15,2,d,50.0,50.0,Hamstring injury - 50% chance of playing,2025-04-27T12:00:08.343603Z
417,Tonali,15,3,a,100.0,100.0,,2024-07-17T13:30:05.060878Z
418,Trippier,15,2,a,100.0,50.0,,2025-05-09T10:30:06.643856Z
419,White,15,3,u,0.0,0.0,Loaned to MK Dons,2024-08-31T08:20:54.098792Z
420,Willock,15,3,a,100.0,100.0,,2025-05-11T23:30:09.348986Z
